"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2249","Проверка создания курса","LMS system","Sat Apr 25 23:55:29 UTC 2026","passed","Sat Apr 25 23:55:31 UTC 2026","Courses","Courses","",""
"","1241","Проверка авторизации с неправильными данными","LMS system","Sat Apr 25 23:55:24 UTC 2026","passed","Sat Apr 25 23:55:25 UTC 2026","Authorization","Authentication","",""
"","3053","Проверка авторизации с успешной регистрацией","LMS system","Sat Apr 25 23:55:22 UTC 2026","passed","Sat Apr 25 23:55:25 UTC 2026","Authorization","Authentication","",""
"","1123","Проверка авторизации с неправильными данными","LMS system","Sat Apr 25 23:55:25 UTC 2026","passed","Sat Apr 25 23:55:26 UTC 2026","Authorization","Authentication","",""
"","1587","Проверка отображения страницы Dashboard","LMS system","Sat Apr 25 23:55:32 UTC 2026","passed","Sat Apr 25 23:55:33 UTC 2026","Dashboard","Dashboard","",""
"","1329","Регистрация пользователя с корректным email, username и password","LMS system","Sat Apr 25 23:55:26 UTC 2026","passed","Sat Apr 25 23:55:28 UTC 2026","Registration","Authentication","",""
"","1531","Проверка авторизации с неправильными данными","LMS system","Sat Apr 25 23:55:22 UTC 2026","passed","Sat Apr 25 23:55:23 UTC 2026","Authorization","Authentication","",""
"","967","Проверка перехода с авторизации на регистрацию","LMS system","Sat Apr 25 23:55:25 UTC 2026","passed","Sat Apr 25 23:55:26 UTC 2026","Authorization","Authentication","",""
"","1360","Проверка отображения пустого списка курсов","LMS system","Sat Apr 25 23:55:28 UTC 2026","passed","Sat Apr 25 23:55:29 UTC 2026","Courses","Courses","",""
"","2747","Проверка редактирования курса","LMS system","Sat Apr 25 23:55:29 UTC 2026","passed","Sat Apr 25 23:55:32 UTC 2026","Courses","Courses","",""
